Name,Type,AI_Governance_Fit,Check_Size,Thesis,Portfolio,Relevant_Connections,Red_Flags,Recent_News,Sources,Outreach_Subject,Outreach_Body,Call_To_Action
Lightspeed Venture Partners,vc,high,$10M to $100M+ (growth/late); smaller checks likely possible at earlier stage,"Lightspeed Venture Partners is a global venture capital firm that invests across stages, with a strong focus on transformational technologies, AI, enterprise, and consumer sectors. They seek out category-defining companies and support founders from early to growth stages. They emphasize bold visions in markets with potential for scale and impact.",Anthropic; Mistral AI,"Dario Amodei (CEO, Anthropic)",,Led Anthropic's $3.5B Series E round (Mar 2025); Invested in Mistral AI’s €1.7B Series C (Sep 2025); Raised over $7B for global early & growth-stage investments (Dec 2025),https://lsvp.com/stories/lightspeed-announces-lead-investment-in-anthropics-3-5b-series-e-financing/; https://lsvp.com/companies/; https://www.crunchbase.com/organization/lightspeed-venture-partners/recent_investments; https://www.morganlewis.com/news/2025/09/morgan-lewis-advises-lightspeed-venture-partners-on-investment-in-mistral-ai; https://via.tt.se/pressmeddelande/3327190/lightspeed-raises-over-7-billion-to-fund-early-and-growth-stage-entrepreneurs-around-the-globe?publisherId=259167,Runcible: The Governance Layer for AI — Series A Opportunity,"Hi Lightspeed Team,  I'm reaching out to introduce Runcible, a company laser-focused on a critical challenge facing AI adoption in high-stakes industries: governance. As AI rapidly enters domains like finance, healthcare, defense, and government, decision-makers are demanding systems that are not only state-of-the-art, but also auditable, ethical, and truth-constrained.  Runcible is the governance layer for AI, rooted in the Natural Law Institute's science of decidability. Our team blends deep expertise in fundamental AI safety science with a proven record of shipping enterprise systems—uniquely positioning us to deliver trust and accountability at scale.  With accelerating regulatory pressure and high-profile AI failures shining a spotlight on governance, the timing for a robust foundational solution is now. We’re currently raising a $20–30M Series A to expand our reach and accelerate growth in key regulated verticals.  Would love to connect and discuss how Runcible can partner with Lightspeed to shape the future of trustworthy AI.",Are you available for a brief introductory call next week to explore this further?
Lux Capital,vc,medium,$10M–$100M+ (recent fund: $1.15B; often leads or co-leads large Series A–C rounds),"Lux Capital is a deep tech venture capital investor focused on backing transformative science and technology companies, with a major emphasis on AI, data, life sciences, and breakthrough computing. Their investment thesis centers on bold, risky, high-potential bets in sectors reshaping industry and society.",Hugging Face; MosaicML; Unconventional AI,Hugging Face; MosaicML; Unconventional AI,"Focuses on ambitious and high-risk, large-scale platforms—may seek bigger 'moonshot' narratives over incremental AI governance improvements.",Closed Lux Ventures VIII fund at $1.15B in Dec 2025.; Backing of Unconventional AI's $475M raise at $4.5B valuation for probabilistic AI chips.; Continued involvement in leading AI companies such as Hugging Face and MosaicML.,https://www.luxcapital.com/companies/hugging-face; https://www.luxcapital.com/companies/mosaicml; https://pulse2.com/unconventional-ai-475-million-at-4-5-billion-valuation/; https://globallegalchronicle.com/lux-capitals-1-15-billion-closing-of-lux-ventures-viii/; https://tracxn.com/d/venture-capital/lux-capital/__GYav2s0CpJYtKuH74TT9JyNQSZPYCXHgZgoi2ivawOM; https://www.linkedin.com/posts/dannycrichton_the-special-competitive-studies-project-has-activity-7395579614758338560-6EuH,Unlocking Trustworthy AI: Runcible Series A Partnership Opportunity,"Hi Lux Capital Team,  I’m reaching out to introduce Runcible, the Governance Layer for AI, purpose-built for high-stakes sectors: finance, healthcare, defense, and government. As generative AI adoption accelerates, the industry faces unprecedented risks in reliability, auditability, and ethical use—issues today’s solutions are ill-equipped to govern at scale.  Runcible’s team brings deep expertise in both AI and provable governance systems, grounded in the Natural Law Institute’s science of decidability. Our growth has been driven by urgent demand: enterprise and public sector buyers now recognize that truth-constrained, auditable AI isn’t optional—but foundational. With the market at a true inflection point, our pipeline momentum and team uniquely position us to define this emerging category.  We’re currently raising a $20-30M Series A to accelerate adoption and meet surging demand. I would welcome a conversation to explore how Lux could partner with us as we build the future of trustworthy AI.",Would you be open to an initial call next week to discuss our vision and Series A round?
Marc Andreessen / Andreessen Horowitz (a16z),vc,medium,$10M–$500M+ (recent AI deals as high as $2B+ rounds; $20–30M is a standard Series A/B for a16z in AI/enterprise in 2024–2025),"Andreessen Horowitz (a16z), co-founded by Marc Andreessen, is one of the most active and aggressive VC firms in AI, cloud, enterprise, and software. They focus on transformative, market-defining technology with network effects, rapid scalability, and strong teams. a16z routinely backs sector leaders early and is a major player in shaping the AI landscape.","Thinking Machines Lab; OpenAI (historic early involvement, with others); Databricks; Anthropic; Scale AI","Portfolio founders (esp. recent AI companies); Industry co-investors in AI (Sequoia, Lightspeed, etc.); Enterprise SaaS ecosystem advisers; Direct outreach via a16z partners or network",May push for rapid scaling over strict governance processes.; Selective about capital allocation: prefers potentially exponential businesses.; Brand is strong but experience with government-regulated AI may depend on partner.,"Led $2B round into Thinking Machines Lab, Mira Murati's AI startup (July 2025).; Seeking record $20B megafund focused on US tech/AI (April 2025).",https://www.cbinsights.com/investor/marc-andreessen; https://www.feedtheai.com/a16zs-ai-startups-portfolio/; https://www.reuters.com/technology/mira-muratis-ai-startup-thinking-machines-raises-2-billion-a16z-led-round-2025-07-15/; https://www.reuters.com/business/finance/andreessen-horowitz-seeks-raise-20-billion-megafund-amid-global-interest-us-ai-2025-04-08/; https://techstartups.com/2025/04/08/andreessen-horowitz-to-raise-record-20-billion-ai-megafund-as-global-investors-bet-on-u-s-tech/,Marc – Backing the Governance Layer for Ethical AI,"Hi Marc,  I’m reaching out because we share a belief in technology’s power to shape society’s future—and in the urgent need for trustworthy, auditable AI as it enters our most high-stakes domains.  Runcible is building 'The Governance Layer for AI'—enabling truth-constrained, ethical, and auditable AI decisions in finance, healthcare, defense, and government. We’re translating Natural Law Institute breakthroughs into real-world, decidable AI you can trust when it matters most.  We’re raising a $20-30M early round. Given your history of bold bets and conviction, I’d be honored to share how you could help ensure that AI is governed rightly from the ground up.  Thank you for considering, [Your Name]",Would you be open to a 20-minute call to discuss how your support could help create this new foundation for ethical AI?
Marsh McLennan Ventures,strategic,medium,Unknown; no evidence of startup investment activity or typical check size.,"Marsh McLennan is a global leader in risk management, insurance, reinsurance, and consulting, with strong interest in leveraging AI for enterprise risk, supply chain, and operational transformation. Their AI activity is focused on building and deploying solutions internally rather than external venture investments.",Sentrisk (AI risk analytics platform),Erick R. Gustafson (Media Contact: erick.gustafson@mmc.com); Jay Gelb (Investor Contact: jay.gelb@mmc.com),"No public evidence of a dedicated venture investment arm.; No history of external venture investments or check size data.; Involvement in AI is as an adopter/deployer, not financial backer.",Launched AI-powered solution for supply chain risk management in 2024–25.; Sentrisk: Enterprise supply chain risk management with AI.,https://www.marshmclennan.com/web-assets/files-for-download/investors/2025/pdf-2024-marsh-mclennan-investors-annual-report.pdf; https://www.marshmclennan.com/content/dam/mmc-web/files-for-download/investors/2025/pdf-2025-marsh-mclennan-3q-investor-presentation.pdf; https://www.marshmclennan.com/web-assets/files-for-download/investors/2025/pdf-2025-marsh-mclennan-investors-3q-news-release.pdf; https://www.marshmclennan.com/news-events/2024/may/marsh-mclennan-launches-ai-powered-solution-to-transform-supply-chain-risk-management.html; https://marshmclennan.com/sentrisk.html; https://www.investegate.co.uk/index.php/announcement/bzw/marsh-mclennan-cos-inc---mhm/marsh-mclennan-launches-ai-powered-solution-t-/8171366; https://www.marsh.com/my/about/media/press-releases.html,Exploring a Strategic Partnership: The Governance Layer for AI in High-Stakes Sectors,"Dear Marsh McLennan Ventures team,  We're reaching out to explore a potential strategic partnership between Marsh McLennan Ventures and Runcible as we address a critical challenge facing high-stakes sectors like finance, healthcare, defense, and government: the need for truth-constrained, auditable, and ethical AI systems.   Runcible serves as 'The Governance Layer for AI,' providing organizations with rigorous assurance grounded in Natural Law Institute science of decidability. Our platform enables responsible AI deployment while supporting organizations navigating increasingly complex regulatory and risk environments.  We believe a partnership could create significant mutual value—combining Marsh McLennan's industry reach and expertise with Runcible's pioneering governance layer to unlock new opportunities for both organizations and the industries we serve.  We're currently raising $20–30M and would welcome a conversation to explore partnership structures and how we might align our efforts.",Would you be open to a brief call next week to discuss how Marsh McLennan Ventures and Runcible might collaborate for mutual benefit?
Mastercard Start Path,strategic,medium,"Seed to Series A (check sizes not always disclosed; typically accelerators provide non-dilutive grants or small equity checks, estimated $50k–$500k+ range, but larger strategic follow-ons possible)","Mastercard Start Path is an accelerator and incubator program supporting early-stage startups in fintech, enterprise solutions, and commerce innovation globally. The focus is on transformative technologies that enhance payments, financial inclusion, equity, digital transformation, and next-gen commerce infrastructure (including embedded finance, open banking, ESG, and sustainability).",Revolut; Airwallex; Lastminute,"Connect with Mastercard innovation/venture teams; past participants/mentors from the Start Path program; high-level program staff via LinkedIn; warm intros possible via existing portfolio CEOs (Revolut, Airwallex, etc.) or Mastercard business units.","Program focus is primarily fintech, commerce, and enterprise apps—AI governance is not a stated core theme.; Most deals are at seed/Series A and may be smaller checks unless there's a strong strategic fit.; May prefer companies with clear payments/commerce applications or that complement Mastercard's global offerings.","2025-09: Welcomed 11 new startups to its Emerging Fintech program. (Source 1, 7); 2025-03: Has now supported startups across 12 countries, with two unicorns and three portfolio exits; focus remains on enterprise and fintech sectors. (Source 4); 2024-11: Celebrating a decade of fintech innovation. (Source 3)",https://www.mastercard.com/us/en/news-and-trends/press/2025/september/mastercard-welcomes-11-startups-to-start-path%E2%80%99s-emerging-fintech-program.html; https://tracxn.com/d/accelerator-incubator/mastercard-start-path/__46O-Lgm2kEzlEakr4KVtSHuU19v-XvAI346H_4Z9YM8; https://www.cbinsights.com/investor/mastercard-start-path; https://www.mastercard.com/news/perspectives/featured-topics/fintech/how-mastercard-start-path-fuels-the-future-of-payments/; https://www.fintechfutures.com/fintech-start-ups/mastercard-announces-latest-start-path-cohort,Exploring Strategic Partnership: Runcible x Mastercard Start Path,"Dear Mastercard Start Path Team,  I'm reaching out to explore a strategic partnership between Runcible and Mastercard Start Path. We believe AI will underpin tomorrow’s most critical financial, governmental, and healthcare systems, but today’s AI lacks the transparency, auditability, and ethical constraints required for high-stakes environments.  Runcible is building 'The Governance Layer for AI,' enabling truth-constrained, auditable, and ethical AI for regulated verticals—including finance, healthcare, defense, and government—founded on Natural Law Institute science of decidability. We see a unique opportunity for Mastercard to further strengthen its leadership in responsible AI infrastructure while unlocking new, mutually valuable capabilities through partnership.  We are currently raising $20-30M, and would love to discuss how we can jointly create and capture value in this emerging landscape.  Thank you for considering this opportunity.",Would you be open to a conversation about potential collaboration and value creation between Runcible and Mastercard Start Path?
Matt Clifford / Entrepreneurs First,vc,high,$125k-$2M (typical for EF; larger syndication possible with EF alumni network),"Entrepreneurs First, co-founded by Matt Clifford, invests in exceptional founders at the earliest stage, focusing on building high-impact startups from inception, especially in deep tech and AI.",Tractable; Magic Pony Technology; OpenCosmos,Entrepreneurs First alumni network; UK AI policy circles; ARIA (Advanced Research and Invention Agency) leadership,Typical investment size likely below $20M raise; may need syndication or referral.; Stepping back from governmental AI advisory to focus on personal matters (source 7).,"Clifford stepped down as UK Prime Minister's AI advisor in July 2025 to spend more time with family (source 7).; Entrepreneurs First nears £1bn valuation, continues to back high-growth AI startups (source 5, 4).",https://www.matthewclifford.com/; https://www.joinef.com/about/; https://news.sky.com/story/ex-starmer-advisers-start-ups-backer-nears-1bn-valuation-13464379; https://www.uktech.news/ai/matt-clifford-to-step-back-as-prime-ministers-ai-advisor-20250620,Seeking warm introduction: Runcible – The Governance Layer for AI,"Hi Matt,  I'm reaching out as a founder of Runcible—focused on building 'The Governance Layer for AI', enabling truth-constrained, auditable, and ethical AI for critical sectors like finance, healthcare, defense, and government. We leverage Natural Law Institute science of decidability to address the fundamental governance challenges posed by advanced AI systems.  We're currently raising a $20-30M round and looking for partners who understand both the gravity and opportunity at this critical inflection point for safe AI deployment. Rather than features, we're committed to solving the urgent need for trustworthy AI in high-stakes environments.  Given your vantage point and network, is there someone you would recommend I connect with—who's thinking at the intersection of AI, governance, and impact investing? Any guidance or introductions would be hugely appreciated. ",Would you be open to suggesting the best person in your network for an introduction?
Menlo Ventures,vc,medium,$10-$50M+ in growth and late-stage; $1-$20M in early stage (based on fund size and portfolio comp),"Menlo Ventures is a venture capital firm investing at all stages in companies shaping the future of enterprise platforms, especially those leveraging artificial intelligence to create economic and societal value. Menlo is 'ALL IN on AI,' backing startups building foundational, ethical, and infrastructure solutions in high-impact sectors.",Abnormal Security; Carta; Benchling; Harness; Siri,,,"Published the '2025 State of Generative AI' enterprise report (Dec 2025) showing $37B in enterprise investment in 2025, tripling in one year.; Raising $1.5B across two new funds in 2025.",https://menlovc.com/perspective/2025-the-state-of-generative-ai-in-the-enterprise/; https://menlovc.com/wp-content/uploads/2025/12/menlo_ventures_enterprise_ai_report-2025.pdf; https://menlovc.com/portfolio/; https://menlovc.com/focus-areas/ai/; https://www.globenewswire.com/news-release/2025/12/09/3202258/0/en/Menlo-Ventures-2025-State-of-Generative-AI-Report-Enterprise-Investment-Hit-37B-in-2025-Tripling-in-One-Year.html; https://www.venturecapitaljournal.com/menlo-ventures-targets-1-5bn-across-two-new-funds/; https://www.altassets.net/private-equity-news/by-region/north-america-by-region/united-states-north-america-by-region/menlo-ventures-back-fundraising-eyes-1-5bn-across-two-new-vehicles.html,Runcible: Series A Opportunity – Transforming Trust in High-Stakes AI,"Hello Menlo Ventures Team,  I'm reaching out to introduce Runcible, 'The Governance Layer for AI.' As advances in AI accelerate, especially where stakes are highest—finance, healthcare, defense, government—the risk of ungoverned AI grows. Runcible directly addresses this by ensuring truth-constrained, auditable, and ethical AI, grounded in Natural Law Institute's science of decidability.  We believe the market is at an inflection point: demand for trust, verifiability, and ethical assurance in AI is outpacing what legacy approaches provide. Our team's unique expertise in formal verification, high-assurance systems, and executive leadership positions us to meet this moment.  Runcible is raising a $20-30M Series A to accelerate go-to-market and scale partnerships with leading organizations in regulated verticals.   I'd welcome the opportunity to share our growth trajectory and hear your perspective on this market. ",Are you available next week for a quick call to discuss how Runcible is building foundational infrastructure for trustworthy AI?
Microsoft (M12),strategic,high,"$5M–$20M+ (recent annual allocation: $275M to fund, individual rounds vary)","Invests in startups aligned with Microsoft's mission, with strong focus on AI, cloud infrastructure, enterprise software, cybersecurity, and deep technology. Strong interest in companies advancing responsible, ethical, and scalable AI, and infrastructure supporting enterprise and regulated sectors.",OpenAI; 1910 Genetics; Acerta,"Direct connections at Microsoft or M12 management team highly valuable (via previous co-investors, board seats, or via mutual portfolio companies); Warm intros via other enterprise SaaS founders invested by M12/Microsoft","Process can be lengthy/complex due to Microsoft's scale; Potential for deep commercial entanglement with Microsoft as a strategic, which might limit flexibility for some startups","Microsoft gave M12 (its investment arm) $275M in 2024 for startup deals closely aligned with its mission, especially around AI and next-gen tech (Fortune, Jan 2024); Major, repeated strategic investments in AI (e.g., OpenAI), and large infrastructure bets in Canada ($19B) and India ($17.5B) for AI compute/data centers",https://fortune.com/2024/01/17/microsoft-vc-arm-m12-openai-investment/; https://m12.vc/portfolio/; https://blogs.microsoft.com/on-the-issues/2025/12/09/microsoft-deepens-its-commitment-to-canada-with-landmark-19b-ai-investment/; https://www.cnbc.com/2025/12/10/microsoft-india-investment-ai-infra-as-big-tech-google-aws.html,Exploring Strategic Partnership: Runcible x Microsoft for Responsible AI Governance,"Hello Microsoft team,  The acceleration of AI raises urgent questions about integrity and accountability, especially in high-stakes domains. At Runcible, we address this challenge by delivering 'The Governance Layer for AI,' ensuring truth-constrained, auditable, and ethical AI for sectors like finance, healthcare, defense, and government. Built on founding science from the Natural Law Institute, our approach creates foundations for reliable, principled AI deployment where it matters most.  We see significant opportunity for Runcible and Microsoft to mutually accelerate responsible AI adoption. By combining your technology reach and ecosystem with our robust governance platform, we can jointly enable safer AI innovation for mission-critical enterprise and public sector customers—delivering measurable value on both sides.  We’re currently raising $20–30M and would value a conversation to explore strategic partnership opportunities.",Are you available for a brief call to discuss how we could collaborate for outsized impact in responsible AI?
Microsoft M12,vc,high,$10M-$30M+,"M12 is Microsoft’s venture fund, investing in enterprise software and AI, with emphasis on category-defining teams driving next-generation cloud, AI, and enterprise solutions. Deep focus on transformative AI and applications in high-stakes and high-scale industries.",NeuBird; etalytics; Outset,"Anne Headon (Managing Partner, M12); Connections at NeuBird, etalytics, Outset (portfolio CEOs/founders); Enterprise/AI partner ecosystem leaders at Microsoft",Potential for longer processes and more structured diligence as a large corporate VC; Potential for partnership/strategic priorities influencing investment decisions,"Microsoft's M12 invests another $22.5M into NeuBird, months after leading $22M seed round.; M12 backs etalytics in €16M Series A to expand global AI energy platform.; M12 participates in Outset's $30M Series B for AI-native customer solutions.",https://techcrunch.com/2024/12/11/microsofts-m12-invests-another-22-5m-into-nuebird-months-after-its-22m-seed-round/; https://etalytics.com/resources/blog/etalytics-series-a-extension-microsoft-m12-investment; https://natlawreview.com/press-releases/outset-secures-30-million-series-b-launch-worlds-first-ai-native-customer; https://www.thesaasnews.com/news/outset-raises-30-million-series-b; https://www.linkedin.com/posts/shilpisrivastava1_microsofts-m12-invests-another-225m-into-activity-7272767753567051776-PE9E; https://www.microsoft.com/en-us/microsoft-cloud/blog/2024/03/12/competitive-strategies-in-ai-insights-from-an-m12-managing-partner/,Exploring Strategic Partnership: Runcible & Microsoft M12 for Trusted AI in High-Stakes Sectors,"Hello Microsoft M12 team,  I’m reaching out to explore a strategic partnership between M12 and Runcible, as we advance the governance layer for AI in critical sectors—finance, healthcare, defense, and government.  Runcible addresses the growing challenge of ensuring that AI systems remain truth-constrained, auditable, and ethical where stakes are highest—an imperative for institutional trust and regulatory alignment. Our approach builds on Natural Law Institute science of decidability, setting a new standard for responsible and transparent AI.  We believe there is significant mutual value in combining Runcible’s deep tech and vision with Microsoft’s scale and leadership. Our $20–30M raise is an opportunity to drive impact together and set best practices for AI governance worldwide.  Would you be open to discussing potential partnership structures and value-creation avenues between Runcible and M12?",Let us know if you are available for a short call to explore this further.
Morgan Stanley Tactical Value,vc,medium,$20M–$50M+,"Morgan Stanley Tactical Value seeks to invest flexibly across private markets, targeting opportunistic, special situations and tactical investments in high-growth sectors. They frequently back companies with disruptive business models, including in fintech, enterprise software, and technology-driven services.",Human Interest,Morgan Stanley private markets & investment banking contacts; Potential introductions via board members or late-stage founders backed by Morgan Stanley,Opportunistic investor; may prioritize returns over AI safety/alignment; Potential focus on more traditional sectors,"Invested up to $50M in Human Interest, a fintech company (Aug 2025); Publishing on AI as a global, multi-sector alpha opportunity (Oct 2025)",https://www.morganstanley.com/im/en-us/institutional-investor/insights/press-release/morgan-stanley-tactical-value-to-invest-up-to-50m-in-human-interest.html; https://www.morganstanley.com/im/en-us/institutional-investor/insights/articles/ai-a-race-for-alpha.html; https://www.morganstanley.com/im/en-us/individual-investor/about-us/people-and-teams/investment-teams/tactical-value-team.html; https://401kspecialistmag.com/human-interest-announces-50m-investment-from-morgan-stanley-tactical-value/,Strategic Partnership Opportunity: Advancing Auditable AI Governance,"Dear Morgan Stanley Tactical Value Team,  I’m reaching out to introduce Runcible, a company at the forefront of AI governance. As high-stakes sectors like finance face increasing regulatory and ethical demands, the need for truth-constrained and auditable AI is more critical than ever.  Runcible is building 'The Governance Layer for AI,' empowering organizations to deploy ethical, accountable automation at scale. Our platform, grounded in the Natural Law Institute’s science of decidability, addresses pressing industry challenges around transparency, ethics, and oversight—starting in finance, healthcare, defense, and government.  We see a compelling opportunity for strategic partnership, leveraging Morgan Stanley Tactical Value’s expertise and leadership to help set global standards for responsible AI. Together, we can unlock new value by mitigating risk, accelerating adoption, and shaping the next era of intelligent systems.  We are currently raising $20–30M to expand our reach and would value your perspective on potential collaboration. ",Would you be open to an initial conversation to explore partnership opportunities between Morgan Stanley Tactical Value and Runcible?
Mubadala Investment Company,vc,medium,"$10M-$100M+ (typical range for Mubadala and Mubadala Capital rounds, Series B and beyond; invested $150M in Anaconda’s round with others [6])","Mubadala Investment Company, through its venture arm Mubadala Capital Ventures, is a sovereign-backed global investor focusing on early and growth-stage technology companies, with significant resources to support transformational growth. They invest across sectors such as AI, technology, life sciences, and alternatives, leveraging their global network and long-term vision.",Anaconda Inc.,"Mubadala Capital Ventures team (San Francisco, London, Abu Dhabi); Partners such as Insight Partners (co-invested in Anaconda)",Sovereign wealth fund – may have complex/institutional decision-making processes.; Geopolitical/international considerations as a UAE state entity.,"Aug 2025: Invested in Anaconda's $150M Series C (AI/data infrastructure) [6]; Jan 2025: Published report on AI revolutionizing investment strategies, actively tracking and applying AI in portfolio management [4]; May 2025: Mubadala’s assets surge to $327B, tech and AI at the forefront [5]",https://vc-mapping.gilion.com/vc-firms/mubadala-capital-ventures; https://www.mubadala.com/en/news/ai-to-revolutionize-investment-strategies-mubadala-and-mgx-report; https://www.crowdfundinsider.com/2025/08/247180-uaes-mubadala-capital-invests-in-us-ai-firm-anacondas-150m-series-c-round/; https://www.mubadala.com/; https://www.fundsglobalmena.com/mubadalas-assets-surge-to-327bn-as-tech-and-ai-investments-drive-growth/,Introducing Runcible: The Governance Layer for AI – Series A Opportunity,"Dear Mubadala Investment Company Team,  I’m reaching out to share an opportunity that sits at the convergence of timing, technology, and trust: Runcible, the governance layer for AI. With rapid AI adoption in high-stakes industries, institutions urgently need auditable, ethical, and truth-constrained AI solutions for finance, healthcare, defense, and government.  Runcible is uniquely built on the Natural Law Institute’s science of decidability to ensure AI remains accountable and transparent, even as models grow more complex. Our team brings deep technical expertise and proven execution at the forefront of AI governance – and we’re moving fast to address market pull as regulation accelerates.  We are currently raising $20-30M Series A to meet accelerating demand and would be honored to explore alignment with Mubadala at this pivotal stage of growth.  Thank you for your consideration.",May we schedule a brief call to discuss how Mubadala and Runcible could partner to shape the emerging future of responsible AI?
Munich Re Ventures,vc,medium,"$2-20M (historically), but now unlikely to write new checks","Munich Re Ventures was the venture capital arm of Munich Re, a global reinsurance giant. They invested in cutting-edge technology companies with a focus on risk, insurance, and AI, particularly those that could intersect with Munich Re's broader insurance and risk management activities. They also backed AI/enterprise startups, sometimes focusing on reducing risk in AI adoption.",Faye; AI/enterprise startups (historically),,"As of late 2025, Munich Re Ventures is winding down: they are ceasing new investments and are merging VC activities with in-house group MEAG.; Unlikely to participate in new fundraising rounds.","Munich Re Ventures is shutting down its $1.2B venture capital arm and pivoting innovation strategy in-house (Oct-Nov 2025).; Munich Re Ventures will cease new investments, merging its activities with in-house asset manager MEAG (Oct 2025).",https://techfundingnews.com/munich-re-shuts-down-venture-arm-innovation-pivot/; https://www.linkedin.com/posts/munich-re-ventures_today-munich-re-is-announcing-that-after-activity-7388594087383396352-Mowg; https://globalventuring.com/corporate/services/munich-re-winds-down-1-2bn-vc-arm-after-decade-of-investing/,Strategic Partnership Opportunity: The Governance Layer for AI,"Dear Munich Re Ventures team,  AI adoption brings both immense promise and unprecedented risks, especially in critical sectors such as finance, healthcare, defense, and government. At Runcible, we are addressing the urgent need for truth-constrained, auditable, and ethical AI—empowering organizations to deploy AI with confidence in even the highest-stakes environments.  Runcible is uniquely built upon the Natural Law Institute’s science of decidability, creating a governance layer for AI that ensures trust and regulatory alignment. We believe a strategic partnership between Runcible and Munich Re Ventures could drive significant mutual value—harnessing your expertise in risk, insurance, and regulated markets alongside our technology to advance safe AI adoption globally.  We are currently raising $20-30M to scale our platform and would welcome a conversation about how we might partner to shape the future of ethical, auditable AI together. ",Would you be open to a brief call in the coming weeks to discuss potential strategic partnership opportunities?
Nat Friedman,angel,medium,$500k–$5M+,"Nat Friedman is a prolific angel investor and entrepreneur focused on backing early-stage and Series A technology companies, especially in AI, software infrastructure, and high-growth technical markets. He is known for supporting ambitious teams building transformative AI products and has collaborated with Daniel Gross to back sector-defining startups, seeking outsized technical impact.",Safe Superintelligence (SSI); Perplexity AI; The Bot Company; ElevenLabs; Deel; Anysphere; Magic.dev,Daniel Gross; Safe Superintelligence founders (e.g. Ilya Sutskever); Meta AI leadership,"Recently joined Meta—may have new policy constraints, potential conflicts of interest in investments.; Split focus between angel and VC model (NFDG), possibly less predictable follow-on or formal support.","Nat Friedman and Daniel Gross's fund NFDG partially acquired, both hired by Meta to lead new AI initiatives (2025).; NFDG grew to a $1.1B fund before Meta's partial acquisition.; Meta is shifting its AI strategy, now integrating new leadership (Friedman & Gross).; Invested in Magic.dev ($23M Series A, 2023), leading early-stage AI investments.",https://www.cbinsights.com/investor/nat-friedman; https://www.trueup.io/nfdg/companies; https://www.cbinsights.com/investor/nat-friedman-and-daniel-gross; https://www.datacenterdynamics.com/en/news/meta-in-talks-to-partially-acquire-vc-fund-nfdg-hire-nat-friedman-and-daniel-gross-for-ai-shakeup/; https://www.saastr.com/the-1-1b-vc-fund-that-4xd-in-two-years-then-got-acquired-by-meta/,Introducing Runcible: Building the Governance Layer for Ethical AI,"Hi Nat,  I'm reaching out because I deeply believe that society’s biggest advances will only come from AI we can truly trust—especially in verticals like finance, healthcare, defense, and government. At Runcible, we’re building the governance layer for AI, architected from the ground up to be truth-constrained, auditable, and ethically aligned, rooted in the Natural Law Institute’s decidability science.  This isn’t just a technical opportunity—it’s a responsibility. I know you care deeply about the impact technology has on the world. Your support at this pivotal stage would mean more than just capital; it would bring principled backing to a mission that genuinely matters.  We're currently raising $20-30M to bring this vision to high-stakes domains where it matters most. ",Would you be open to a conversation this week to explore if this resonates with your investment lens?
Naval Ravikant,angel,medium,$50K–$500K,"Naval Ravikant is a prolific angel investor known for backing early-stage tech startups, especially in the San Francisco Bay Area and New York. He tends to favor new, innovative, and fast-growing companies, including those in AI, fintech, and crypto. Ravikant's investment approach highlights founder quality and disruptive potential.",AngelList; Mercury; Vercel; AtoB; Hebbia; StarkWare,,"Typical check size is below the current raise target ($20–30M). Would likely need to join a syndicate or co-invest with larger funds.; Heavy focus on crypto and broad tech, not specifically regulatory, audit, or governance.",Remains active in crypto and privacy-focused investments. No direct mention of recent activity in AI governance or ethics space.,https://www.cbinsights.com/investor/naval-ravikant; https://www.trueup.io/naval-ravikant/companies; https://icodrops.com/vc/naval-ravikant/; https://cryptorank.io/funds/naval-ravikant,A New Governance Layer for AI: Runcible’s Mission & Opportunity,"Hi Naval Ravikant,  I’m reaching out with deep personal conviction about a foundational missing piece in AI: a governance layer for ensuring truth, auditability, and ethics in high-stakes domains like finance, healthcare, defense, and government.  At Runcible, we’re building this governance layer using Natural Law Institute science of decidability, to enable trustworthy, regulated, and transparent AI decisions. I believe this is not just a product gap but an urgent necessity for the future of human institutions.  I know you invest early in market-shaping ideas rooted in principle. That’s why I’m hoping to share more about how Runcible can define the ethical AI paradigm. We’re currently raising a $20–30M round, and I’d be honored to have your support at the angel level. ",Are you open to a brief call next week? I’d love to walk you through Runcible’s vision and hear your thoughts on principled AI governance.
